JMÉNO;PŘÍJMENÍ;ODKUD;KAM ;POZICE;SEZONA
T.J.;Melancon;Liberec;Hradec Králové;Obránce;2025/26
Lukáš;Derner;Liberec;Konec kariéry;Obránce;2025/26
Vojtěch;Budík;Liberec;Vítkovice;Obránce;2025/26
Michal;Bulíř;Liberec;České Budějovice;Útočník;2025/26
Robert;Lantoši;Liberec;České Budějovice;Útočník;2025/26
;;;;;2025/26
Petr;Šenkeřík;Hradec Králové;Litvínov;Obránce;2025/26
Markuss;Komuls;HIFK;Litvínov;Obránce;2025/26
Axel;Holmstrom;Sport;Litvínov;Útočník;2025/26
Markus;Hannikainen;Adler Manheim;Litvínov;Útočník;2025/26
Pavel;Čajan;Cincinnati Cyclones;Litvínov;Brankář;2025/26
Quinn;Schiemann;Farjestad;Litvínov;Obránce;2025/26
Theodor;Pištěk;Karlskoga;Litvínov;Útočník;2025/26
Jaroslav;Brož;Vsetín;Litvínov;Útočník;2025/26
Vojtěch;Husinecký;Chomutov;Litvínov;Obránce;2025/26
Michal;Plutnar;Karlovy Vary;Litvínov;Obránce;2025/26
Michal;Moravčík;Sparta;Litvínov;Obránce;2025/26
Jared;McIsaac;Litvínov;Corner Brook Royals;Obránce;2025/26
Martin;Haš;Litvínov;Landshut;Obránce;2025/26
Matěj;Pekař;Litvínov;Freiburg;Útočník;2025/26
Šimon;Zajíček;Litvínov;Boston Bruins;Brankář;2025/26
Joni;Ikonen;Litvínov;Oskarshamn;Útočník;2025/26
Martin;Havelka;Litvínov;Chomutov;Útočník;2025/26
Denis;Zeman;Litvínov;Liberec;Obránce;2025/26
Kristaps;Zile;Litvínov;Liberec;Obránce;2025/26
Filip;Sandberg;Litvínov;Liberec;Útočník;2025/26
;;;;;2025/26
Radek;Koblížek;KooKoo;Mladá Boleslav;;2025/26
Miks;Indrasis;Brynas;Mladá Boleslav;;2025/26
Niclas;Westherholm;Karpat;Mladá Boleslav;;2025/26
Jakub;Lichtag;Pardubice;Mladá Boleslav;;2025/26
Carl;Berglund;San Jose Barracuda;Mladá Boleslav;;2025/26
Vojtěch;Vochvest;Prince Albert Raiders;Mladá Boleslav;;2025/26
Martin;Skarberg;Tingsryds;Mladá Boleslav;;2025/26
Dávid;Gríger;Karlovy Vary;Mladá Boleslav;;2025/26
Vojtěch;Mokrý;Přerov;Mladá Boleslav;;2025/26
Steve;Moses;Mladá Boleslav;Hradec Králové;;2025/26
Miks;Indrasis;Mladá Boleslav;Prešov;;2025/26
Niclas;Westherholm;Mladá Boleslav;Sodertalje;;2025/26
Julius;Juntila;Mladá Boleslav;neznámo;;2025/26
Zdeněk;Doležal;Mladá Boleslav;Csíkszereda;;2025/26
David;Bernad;Mladá Boleslav;Tábor;;2025/26
Jan ;Stránský;Mladá Boleslav;Pardubice B;;2025/26
Petr ;Čajka;Mladá Boleslav;Biel-Bienne;;2025/26
David;Dvořáček;Mladá Boleslav;neznámo;;2025/26
;;;;;2025/26
Steve;Moses;Mladá Boleslav;Hradec Králové;;2025/26
Šimon;Marha;Chur;Hradec Králové;;2025/26
Tommi;Kivisto;Karpat;Hradec Králové;;2025/26
Lukáš;Kovář;Vítkovice;Hradec Králové;;2025/26
Denis;Kusý;Kladno;Hradec Králové;;2025/26
Lukáš;Radil;Pardubice;Hradec Králové;;2025/26
Petr ;Šenkeřík;Kladno;Hradec Králové;;2025/26
Ondřej;Dlapa;Karlovy Vary;Hradec Králové;;2025/26
Martin;Kohout;Olomouc;Hradec Králové;;2025/26
Petr ;Hašek;Plzeň;Hradec Králové;;2025/26
Pavel;Šimek;Charlottetown Islanders;Hradec Králové;;2025/26
T.J.;Melancon;Liberec;Hradec Králové;;2025/26
Ondřej;Dlapa;Hradec Králové;Jihlava;;2025/26
Denis;Kusý;Hradec Králové;JoKP;;2025/26
Petr ;Šenkeřík;Hradec Králové;Litvínov;;2025/26
Lukáš;Kovář;Hradec Králové;Frýdek-Místek;;2025/26
Oskars;Batna;Hradec Králové;Pelicans;;2025/26
Štěpán;Černý;Hradec Králové;Fargo Force;;2025/26
Adam;Novotný;Hradec Králové;Peterborough Petes;;2025/26
Martin;Bučko;Hradec Králové;Košice;;2025/26
David;Šťastný;Hradec Králové;Karlovy Vary;;2025/26
Tomáš;Sajdl;Hradec Králové;Prostějov;;2025/26
Ryan;Dmowski;Hradec Králové;Slovan Bratislava;;2025/26
Kryštof;Lang;Hradec Králové;Litoměřice;;2025/26
Jérémie;Blain;Hradec Králové;Kladno;;2025/26
Ralfs;Freibergs;Hradec Králové;Vítkovice;;2025/26
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
